Cement,Coarse Aggregate,Fine Aggregate,Age,Concrete compressive strength
146,986,817,28,23.74
144,941,774,28,26.14
148,839,884,28,15.52
277,946,666,28,43.57
298,953,784,28,35.86
313,1002,689,28,41.05
155,880,699,28,28.99
289,924,760,28,46.24
148,1000,828,28,26.92
145,824,869,28,10.54
313,1000,822,28,25.1
136,923,764,28,29.07
155,877,868,28,9.74
255,919,749,28,33.8
162,822,638,28,39.84
136,847,783,28,26.97
164,961,641,28,27.23
162,820,680,28,30.65
157,819,704,28,33.05
149,935,623,28,24.58
135,965,643,28,21.91
159,848,669,28,30.88
144,1021,709,28,15.34
154,845,612,28,24.34
167,898,636,28,23.89
184,923,623,28,22.93
156,854,614,28,29.41
236.9,852.9,695.4,28,28.63
313.3,1001.9,688.7,28,36.8
154.8,1047.4,696.7,28,18.29
145.9,827,871.8,28,32.72
296,819.2,778.4,28,31.42
133.1,949.4,795.3,28,28.94
313.3,867.2,824,28,40.93
151.6,992,815.9,28,12.18
153.1,1001.9,688.7,28,25.56
139.9,916,753.4,28,36.44
149.5,846.8,892.7,28,32.96
299.8,878.2,727.6,28,23.84
153.1,867.2,824,28,26.23
148.1,1001.8,830.1,28,17.96
326.5,801.1,792.5,28,38.63
152.7,999.7,822.2,28,19.01
261.9,895.2,732.6,28,33.72
158.4,897.7,712.9,28,8.54
150.7,1074.5,678,28,13.46
272.6,931.3,762.2,28,32.25
149,953.4,780.3,28,23.52
143,967.4,643.5,28,29.73
259.9,935.7,762.9,28,49.77
312.9,916.6,759.5,28,52.45
284,970.4,794.2,28,40.93
336.5,985.8,816.8,28,44.87
144.8,979.5,811.5,28,13.2
150,1069.3,674.8,28,37.43
143.7,814.1,805.3,28,29.87
330.5,811,802.3,28,56.62
154.8,1047.4,696.7,28,12.46
154.8,877.2,867.7,28,23.79
134.7,961,804.9,28,13.29
266.2,909.7,744.5,28,39.42
314,869.1,690.2,28,46.23
312.7,999.7,822.2,28,44.52
145.7,985.8,816.8,28,23.74
143.8,941.5,774.3,28,26.15
148.1,838.9,884.3,28,15.53
277,946.5,665.6,28,43.58
298.1,953.2,784,28,35.87
313.3,1001.9,688.7,28,41.05
155.2,879.6,698.5,28,28.99
289,924.1,760.1,28,46.25
147.8,1000,828.5,28,26.92
145.4,824,868.7,28,10.54
312.7,999.7,822.2,28,25.1
136.4,922.6,764.4,28,29.07
154.8,877.2,867.7,28,9.74
255.3,919,749.3,28,33.8
272.8,904,679.7,28,37.17
162,838.1,741.4,28,33.76
153.6,923.2,657.9,28,16.5
146.5,860,829.5,28,19.99
151.8,944,694.6,28,36.35
309.9,913.9,651.2,28,38.22
143.6,942.7,844.5,28,15.42
303.6,895.5,722.5,28,33.42
374.3,1013.2,730.4,28,39.06
158.6,953.3,719.7,28,27.68
152.6,1001.8,683.9,28,26.86
310,914.3,804,28,45.3
304.8,959.4,705.2,28,30.12
150.9,991.2,772.2,28,15.57
141.9,882.6,785.3,28,44.61
297.8,878.4,655.3,28,53.52
321.3,870,774,28,57.22
366,824.3,756.9,28,65.91
279.8,825.1,804.9,28,52.83
252.1,835.5,821.4,28,33.4
164.6,1023.3,728.9,28,18.03
155.6,1022,697.7,28,37.36
160.2,828.7,709.7,28,35.31
298.1,879,815.2,28,42.64
317.9,860.5,736.6,28,40.06
287.3,904.4,695.9,28,43.8
325.6,881.6,790,28,61.24
355.9,801.4,778.4,28,40.87
132,866.9,735.6,28,33.31
322.5,951,709.5,28,52.43
164.2,849.3,846,28,15.09
313.8,925.3,782.9,28,38.46
321.4,870.1,779.7,28,37.27
139.7,868.6,655.6,28,35.23
288.4,907.9,829.5,28,42.14
298.2,879.6,744.2,28,31.88
264.5,832.6,790.4,28,41.54
159.8,1049.3,688.2,28,39.46
166,858.8,826.8,28,37.92
276.4,870.1,768.3,28,44.28
322.2,817.9,813.4,28,31.18
148.5,892.4,780,28,23.7
159.1,989.6,788.9,28,32.77
260.9,864.5,761.5,28,32.4
