Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,Concrete compressive strength
289,133.7,0,194.9,5.5,924.1,760.1,28,46.24729218
147.8,175.1,0,171.2,2.2,1000,828.5,28,26.92265885
312.7,0,0,178.1,8,999.7,822.2,28,25.10382116
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07313449
154.8,0,142.8,193.3,9.1,877.2,867.7,28,9.738159024
162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76226077
146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.98790924
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.21558625
303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.4195912
158.6,148.9,116,175.1,15,953.3,719.7,28,27.68108245
152.6,238.7,0,200,6.3,1001.8,683.9,28,26.85991653
310,142.8,0,167.9,10,914.3,804,28,45.30477848
304.8,0,99.6,196,9.8,959.4,705.2,28,30.12320644
150.9,0,183.9,166.6,11.6,991.2,772.2,28,15.56974703
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.6118551
297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.52471136
366,187,0,191.3,6.6,824.3,756.9,28,65.90907927
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.82696164
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.39959639
160.2,188,146.4,203.2,11.3,828.7,709.7,28,35.31427124
298.1,0,107,186.4,6.1,879,815.2,28,42.6440906
317.9,0,126.5,209.7,5.7,860.5,736.6,28,40.06200298
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.79827342
355.9,0,141.6,193.3,11,801.4,778.4,28,40.8686899
322.5,148.6,0,185.8,8.5,951,709.5,28,52.42637609
164.2,0,200.1,181.2,12.6,849.3,846,28,15.09125069
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.22532884
322.2,0,115.6,196,10.4,817.9,813.4,28,31.1787942
159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.76803638
